Tempo_fs,Temp_K,E_pot_eV,E_kin_eV,E_tot_eV
0.000,3031.32,-120616.77738,49.37029,-120567.40710
1.000,3085.19,-120617.66529,50.24769,-120567.41761
2.000,3318.33,-120621.45780,54.04490,-120567.41290
3.000,3738.59,-120628.26624,60.88953,-120567.37671
4.000,4351.76,-120638.28812,70.87606,-120567.41207
5.000,5150.05,-120651.27048,83.87757,-120567.39292
6.000,6123.60,-120667.13989,99.73354,-120567.40635
7.000,7300.47,-120686.27430,118.90092,-120567.37338
8.000,8751.25,-120709.92979,142.52949,-120567.40030
9.000,10478.77,-120738.48569,170.66511,-120567.82058
10.000,12378.29,-120769.03208,201.60221,-120567.42987
11.000,14386.57,-120802.82817,234.31047,-120568.51770
12.000,15872.96,-120828.24977,258.51907,-120569.73070
13.000,17200.11,-120846.93016,280.13396,-120566.79620
14.000,19380.50,-120884.30592,315.64537,-120568.66055
15.000,21057.66,-120912.17695,342.96095,-120569.21600
16.000,22344.42,-120930.99706,363.91811,-120567.07895
17.000,23983.34,-120956.30125,390.61069,-120565.69057
18.000,27486.22,-121021.29399,447.66125,-120573.63275
19.000,32111.96,-121092.71891,522.99960,-120569.71931
20.000,36753.59,-121172.28913,598.59670,-120573.69244
21.000,39186.38,-121206.31872,638.21899,-120568.09973
22.000,40674.61,-121230.96523,662.45740,-120568.50783
23.000,41819.19,-121250.39859,681.09894,-120569.29964
24.000,42369.24,-121259.07316,690.05737,-120569.01579
25.000,42839.45,-121270.17536,697.71566,-120572.45970
26.000,42788.63,-121263.03262,696.88784,-120566.14478
27.000,44203.72,-121291.54439,719.93515,-120571.60924
28.000,46194.57,-121321.10568,752.35960,-120568.74607
29.000,48387.70,-121358.98757,788.07852,-120570.90904
30.000,50676.87,-121395.68471,825.36169,-120570.32302
31.000,52830.82,-121431.12742,860.44266,-120570.68475
32.000,55634.92,-121475.46238,906.11221,-120569.35016
33.000,58366.53,-121522.50777,950.60135,-120571.90642
34.000,57553.39,-121495.16470,937.35797,-120557.80673
35.000,60821.36,-121552.34015,990.58263,-120561.75752
36.000,61547.32,-121564.41847,1002.40602,-120562.01245
37.000,60033.93,-121488.08655,977.75791,-120510.32864
38.000,65482.92,-121544.17294,1066.50428,-120477.66866
39.000,65244.08,-121529.37744,1062.61429,-120466.76315
40.000,70362.12,-121633.21123,1145.97055,-120487.24068
41.000,72212.13,-121645.75705,1176.10116,-120469.65589
42.000,75719.96,-121713.78590,1233.23244,-120480.55346
43.000,81533.09,-121785.35509,1327.90948,-120457.44561
44.000,90274.73,-121948.12963,1470.28234,-120477.84730
45.000,88079.24,-121897.19342,1434.52500,-120462.66843
46.000,93862.28,-122026.32254,1528.71191,-120497.61064
47.000,98987.40,-122125.27765,1612.18354,-120513.09411
48.000,102337.62,-122148.05071,1666.74760,-120481.30311
49.000,112284.58,-122294.25360,1828.75139,-120465.50221
50.000,123833.39,-122515.41932,2016.84403,-120498.57528
51.000,131900.13,-122633.23763,2148.22506,-120485.01257
52.000,136911.29,-122703.21659,2229.84053,-120473.37606
53.000,147047.35,-122838.13727,2394.92409,-120443.21319
54.000,153201.80,-122854.26390,2495.16011,-120359.10379
55.000,151796.03,-122780.54083,2472.26462,-120308.27622
56.000,163523.84,-123048.13934,2663.27255,-120384.86680
57.000,185580.04,-123395.01975,3022.49652,-120372.52323
58.000,196698.71,-123435.02531,3203.58358,-120231.44173
59.000,185332.62,-123226.96197,3018.46678,-120208.49519
60.000,186654.77,-123283.57936,3040.00042,-120243.57894
61.000,193521.27,-123318.88039,3151.83335,-120167.04704
62.000,212875.23,-123679.27308,3467.04665,-120212.22643
63.000,226515.26,-123570.48889,3689.19838,-119881.29051
64.000,294622.44,-124271.25152,4798.44338,-119472.80815
65.000,301641.94,-123842.19554,4912.76823,-118929.42732
66.000,334620.20,-123224.98091,5449.87701,-117775.10390
67.000,436101.69,-123795.52058,7102.68111,-116692.83947
68.000,1383780.58,-120830.65091,22537.29429,-98293.35662
69.000,4411821.78,-123941.18911,71854.25745,-52086.93166
70.000,4473333.67,-124338.89342,72856.08650,-51482.80693
71.000,4570242.39,-123523.01392,74434.41507,-49088.59885
72.000,5639716.01,-123809.14203,91852.66917,-31956.47286
73.000,7419720.84,-122863.22165,120843.17052,-2020.05112
74.000,9451335.90,-118164.01846,153931.58598,35767.56752
75.000,14631481.50,-118292.58602,238299.34475,120006.75873
76.000,23000231.62,-114969.43890,374599.12215,259629.68325
77.000,34350106.64,-112037.33469,559451.74839,447414.41370
78.000,42721892.38,-119699.39650,695800.96605,576101.56955
79.000,51319396.32,-107293.29944,835826.40053,728533.10109
80.000,79276872.28,-116586.38447,1291162.94350,1174576.55903
81.000,82502371.92,-113630.99078,1343695.86367,1230064.87288
82.000,89249114.07,-119028.70052,1453578.39565,1334549.69513
83.000,91035000.59,-114660.63133,1482664.69076,1368004.05943
84.000,98013800.62,-110526.48198,1596326.69234,1485800.21037
85.000,104671290.36,-118842.01107,1704755.59229,1585913.58122
86.000,121867804.74,-97203.11535,1984830.99737,1887627.88202
87.000,156949660.62,-104847.33333,2556200.56592,2451353.23259
88.000,172006151.26,-87603.69998,2801421.93009,2713818.23010
89.000,208749848.47,-97009.81941,3399857.50003,3302847.68063
90.000,243807256.96,-101106.62567,3970828.89969,3869722.27402
91.000,274829768.27,-101561.87949,4476084.92035,4374523.04086
92.000,301186923.27,-101955.54434,4905357.42888,4803401.88454
93.000,318930742.51,-107299.56727,5194346.65396,5087047.08669
94.000,327174087.00,-101916.92835,5328603.98057,5226687.05223
95.000,342705480.00,-92093.20675,5581559.96279,5489466.75604
96.000,400326246.44,-61704.36969,6520015.23057,6458310.86088
97.000,542780941.28,-78190.00290,8840139.84963,8761949.84673
98.000,664163859.08,-88312.65270,10817073.61264,10728760.95994
99.000,708025336.50,-112299.20312,11531434.72018,11419135.51706
100.000,735826125.85,-77702.35798,11984219.34666,11906516.98868
101.000,792899848.13,-82980.53953,12913765.04068,12830784.50115
102.000,879212168.78,-82919.63185,14319512.60331,14236592.97147
103.000,938666902.24,-94792.53178,15287837.24144,15193044.70967
104.000,976992583.38,-85455.51066,15912038.19488,15826582.68422
105.000,1046538343.32,-83309.51710,17044712.90229,16961403.38518
106.000,1101214754.72,-86722.53202,17935214.18284,17848491.65081
107.000,1136300281.26,-83061.39531,18506643.53426,18423582.13895
108.000,1169857667.94,-93068.76653,19053184.44737,18960115.68084
109.000,1181476409.26,-84609.24393,19242416.03297,19157806.78904
110.000,1218499203.27,-91536.45066,19845397.18383,19753860.73317
111.000,1271423360.18,-82794.79621,20707359.92600,20624565.12980
112.000,1625070998.14,-23768.77453,26467132.12750,26443363.35297
113.000,2501591050.99,-101310.22342,40742798.89991,40641488.67649
